NameSpace 39_2013 40_2013 41_2013 42_2013 43_2013 44_2013 45_2013 46_2013 47_2013 48_2013 49_2013 50_2013 51_2013 52_2013 00_2014 01_2014 02_2014 03_2014 04_2014 05_2014 06_2014 07_2014 08_2014 09_2014 10_2014 11_2014 12_2014 13_2014 14_2014 15_2014 16_2014 17_2014
116 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
117 1 5 0 0 0 0 1 1 0 0 0 0 5 0 25 0 2 2 2 0 1 0 0 0 0 58 1 0 0 0 0 0
118 40 43 1 4 18 9 18 27 70 7 33 15 12 0 4 12 6 181 13 45 38 31 27 7 3 109 76 29 45 34 22 0
119 1 0 0 2 3 0 0 0 0 5 1 1 20 0 0 2 1 0 3 0 0 0 1 5 1 1 0 0 0 0 0 0
120 18 0 13 26 6 9 30 2 37 16 9 1 9 3 1 0 0 4 18 8 4 2 15 21 6 1 1 13 1 0 2 19
121 21 5 3 0 4 13 3 2 7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
122 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
123 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
124 31 12 4 13 23 20 9 66 77 54 83 49 16 2 19 36 33 80 24 56 106 29 56 106 46 8 198 25 101 193 75 74
125 6 11 0 1 9 2 0 0 3 8 1 10 9 0 0 1 0 0 5 0 5 0 26 0 0 5 70 5 24 0 5 0
126 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
127 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
128 27 50 51 56 123 43 66 41 118 107 561 99 1773 7 20 52 97 169 134 0 0 0 0 0 0 0 0 0 0 1233 601 0
129 1036 782 508 904 810 820 1402 1046 744 765 635 1144 521 83 729 1066 957 1693 1304 1249 1463 1192 1579 1125 592 1127 1364 1270 1598 648 995 422
130 7 37 40 3 2 4 7 1 10 2 0 2 0 0 2 4 9 7 2 13 11 5 21 9 4 9 6 9 33 8 1 3
131 24 155 31 34 63 33 18 26 19 57 30 7 23 0 0 40 24 43 13 18 36 80 35 51 27 0 0 0 0 0 0 0
132 11 145 2 7 2 1 0 0 4 3 0 1 1 2 2 2 8 0 0 2 1 0 0 0 3 0 2 10 3 0 31 1
133 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
134 1 0 9 7 15 0 14 24 114 5 0 3 0 0 0 14 2 5 0 6 69 0 4 0 2 23 30 39 36 4 17 1
135 1 0 1 0 0 0 4 0 0 0 0 3 0 0 0 218 13 5 8 4 27 0 12 1 12 14 13 1 7 16 13 3
