NameSpace 27_2013 28_2013 29_2013 30_2013 31_2013 32_2013 33_2013 34_2013 35_2013 36_2013 37_2013 38_2013 39_2013 40_2013 41_2013 42_2013 43_2013 44_2013 45_2013 46_2013 47_2013 48_2013 49_2013 50_2013 51_2013 52_2013 00_2014 01_2014 02_2014 03_2014 04_2014 05_2014 06_2014 07_2014 08_2014 09_2014 10_2014 11_2014 12_2014 13_2014 14_2014 15_2014 16_2014 17_2014 18_2014 19_2014 20_2014 21_2014
74 3 1 0 0 0 0 0 2 0 0 10 65 7 15 0 1 12 0 1 1 1 0 0 3 2 0 0 0 0 0 0 0 2 0 2 3 1 0 0 0 0 0 0 0 0 0 0 0
75 36 16 10 0 1 7 5 5 19 3 9 5 29 5 7 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
76 2 0 0 0 1 0 0 0 0 13 0 0 0 0 0 0 0 57 0 0 0 0 0 0 0 0 0 0 0 0 8 0 1 10 0 0 19 13 0 9 0 0 0 0 11 14 0 13
77 10 15 5 0 0 0 0 1 0 5 14 1 4 15 4 3 0 0 0 7 20 12 1 1 0 0 0 5 2 0 0 11 4 1 0 4 27 16 0 2 4 3 0 5 0 0 1 1
78 37 14 14 17 0 57 44 13 10 27 9 1 4 22 5 14 8 44 1 1 0 0 18 5 3 0 5 10 11 25 36 21 106 7 22 22 4 26 38 9 9 16 55 9 4 15 19 1
79 6 22 22 21 12 7 4 19 20 19 22 22 23 21 21 21 16 18 18 19 20 17 22 22 10 4 3 15 24 22 24 28 22 18 17 18 15 15 25 21 17 20 9 11 18 19 23 14
80 14 23 27 1 0 0 0 1 24 26 73 184 41 1 36 17 26 17 27 15 11 22 24 18 1 0 81 37 51 29 61 58 31 42 24 20 30 7 6 0 1 1 9 18 22 21 29 2
81 5 47 103 56 27 0 0 31 35 72 74 49 41 54 61 58 153 39 67 39 43 43 76 56 24 10 16 45 44 44 45 33 38 39 45 12 20 11 14 28 5 2 3 8 22 16 52 8
82 1 1 0 0 0 1 1 2 1 1 2 1 2 5 6 1 2 1 1 3 1 0 3 2 2 0 1 2 1 4 6 0 1 0 2 2 3 1 2 3 5 0 4 2 0 3 5 4
83 2 6 2 0 0 8 9 4 8 5 2 3 5 3 6 6 2 6 2 11 0 5 6 2 12 2 9 9 5 3 2 1 3 1 4 2 10 2 9 5 8 1 14 8 4 10 6 1
84 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
85 163 36 23 12 0 0 20 45 53 18 9 8 16 39 16 66 29 24 60 10 17 24 0 22 0 0 4 52 362 79 141 69 54 14 103 14 4 12 114 21 18 34 4 65 61 28 24 21
86 6 0 7 4 0 0 0 51 58 13 0 29 10 4 10 1 0 0 8 16 0 6 4 0 0 0 0 27 1 7 26 6 58 65 53 5 0 0 3 3 0 0 0 1 7 0 0 6
87 44 132 190 247 161 2 10 273 158 223 189 135 167 160 181 145 265 98 273 157 174 192 208 154 39 17 0 244 117 183 162 90 141 124 159 218 170 115 133 198 128 171 60 97 158 440 283 213
88 1 0 62 0 0 0 0 4 3 1 0 1 4 3 4 0 14 5 4 1 0 14 5 3 0 1 2 15 3 5 3 1 8 8 2 7 8 2 5 21 53 36 0 1 207 17 106 86
89 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
90 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
91 20 125 81 49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
92 39 237 180 353 74 107 4 103 485 478 272 510 280 968 97 203 339 342 544 280 280 248 308 268 17 27 113 255 233 422 629 1099 812 856 409 365 464 445 589 529 576 243 120 249 464 227 511 429
93 4 5 12 33 0 0 0 36 55 47 20 24 7 50 7 18 4 2 13 1 6 11 1 14 7 0 36 2 11 13 1 10 9 49 1 12 5 4 10 4 5 14 20 1 5 4 8 4
94 4 4 7 1 4 0 0 0 21 4 49 2 358 3 230 11 4 11 4 2 1 0 1 0 0 0 0 3 3 4 7 2 3 2 10 2 4 6 7 2 2 3 1 5 1 3 1 0
95 11 38 0 22 0 0 0 30 52 92 98 86 72 40 6 139 11 81 113 26 80 56 60 211 25 9 0 39 38 232 31 17 346 28 14 67 6 95 56 82 155 40 2 76 163 34 85 42
96 108 870 1141 397 0 0 0 0 1297 949 768 774 1228 682 699 819 761 977 670 969 764 718 777 630 194 0 0 546 875 2005 845 687 769 1345 1355 1977 1534 1582 1739 1376 734 780 635 514 943 937 823 522
97 7 29 15 16 155 11 495 5 41 57 11 17 11 44 4 21 28 21 20 6 9 24 22 24 1 1 1 29 37 54 7 5 17 9 9 5 24 20 11 23 10 3 13 84 10 31 12 13
98 15 32 46 15 49 15 0 2 20 33 32 5 71 177 124 10 66 189 53 126 14 144 51 53 23 32 60 3063 62 22 84 3 19 17 85 26 28 13 25 66 20 13 17 169 3 7 18 70
99 2 3 9 7 0 0 0 15 11 3 7 26 5 2 33 7 17 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
100 67 9 80 0 31 0 0 0 0 0 7 0 12 10 8 8 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
101 40 193 188 98 178 0 191 341 40 363 320 270 184 569 289 247 231 343 379 464 331 264 330 409 0 15 39 369 151 72 44 110 78 126 135 0 0 0 0 0 0 0 0 0 0 0 0 0
102 5 4 1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 1 6 2 0 4 2 0 1 3 0 1 0 0 0 0 0 0 0 0 0
103 3 80 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
104 36 159 68 12 0 0 0 0 120 109 122 130 135 76 62 107 92 95 137 198 178 128 137 39 32 0 0 137 220 190 188 159 89 140 148 100 99 33 43 63 50 71 27 12 168 59 59 55
105 2 1 1 1 2 0 0 2 0 2 1 1 2 6 1 2 2 1 4 4 1 4 0 2 1 0 0 1 0 1 0 2 6 1 0 2 3 5 3 1 1 2 1 3 4 1 4 7
106 25 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
107 75 14 28 39 10 0 0 1 14 8 7 3 11 12 2 11 0 10 0 218 197 6 13 5 0 0 0 11 3 43 262 8 11 65 97 89 70 48 52 78 3 33 0 3 13 13 33 3
108 3 0 0 0 0 0 0 0 0 0 0 0 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109 2 1 24 3 3 0 0 0 44 13 16 31 37 27 50 6 16 40 40 122 80 10 10 31 9 0 0 15 21 30 28 42 22 6 11 7 31 12 8 66 20 8 2 4 14 8 29 109
110 104 113 45 54 2 0 47 43 89 188 75 245 0 626 1133 187 96 110 449 740 294 235 163 411 10 3 1 309 184 204 85 471 5 4 8 2 3 8 2 2 8 2 0 1 5 5 2 4
111 3 4 2 10 0 0 0 0 1 18 2 3 22 10 17 9 3 3 3 19 3 4 0 2 5 2 0 5 3 2 6 0 1 6 3 0 0 1 0 5 15 9 0 15 20 8 8 4
112 2 0 0 0 0 0 0 0 19 5 0 0 1 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 1 3 4 0 0 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0
113 11 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
114 94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
115 8 57 17 402 134 0 1 1 78 44 127 145 175 49 51 34 11 90 25 12 49 147 124 114 10 0 80 28 311 316 422 200 82 7 56 158 170 234 149 124 53 221 22 24 138 200 123 67
116 1 30 45 8 2 0 2 55 188 62 117 55 19 27 59 17 2 25 37 11 40 67 92 35 35 2 0 44 32 36 47 86 147 27 148 183 18 53 5 23 105 38 95 19 66 87 70 6
117 28 36 15 0 0 0 1 13 36 28 15 28 31 6 9 3 3 34 29 31 30 15 24 64 49 32 0 37 8 29 6 10 2 7 6 9 16 34 25 6 110 7 6 2 4 15 8 0
118 32 34 6 16 19 0 0 44 14 8 3 20 0 1 0 4 0 0 2 3 4 2 0 0 0 0 0 0 6 0 0 0 4 0 0 26 3 0 0 0 0 0 0 0 0 0 0 0
119 25 40 0 0 0 0 0 2 88 36 0 10 12 51 36 38 103 11 6 44 13 9 30 122 0 0 0 26 6 44 31 14 4 1 6 41 42 36 14 55 154 57 0 1 35 11 26 3
120 5 7 0 0 0 0 0 1 1 8 0 0 11 12 0 0 2 9 7 2 0 10 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 5 1 0 5 0 0 0 0 0 0 0
121 1 0 0 0 0 0 0 1 0 0 0 0 9 3 0 0 0 73 0 0 0 0 1 1 0 0 0 2 2 0 1 2 2 1 0 0 0 0 1 0 10 0 0 0 2 0 0 0
122 2 99 6 14 0 0 0 0 1 18 9 17 20 103 15 51 41 30 0 23 167 23 66 84 0 6 0 29 17 7 35 81 159 74 169 101 71 145 267 138 162 17 0 1 1 2 36 9
123 21 42 13 0 0 0 0 0 0 0 71 140 3 68 0 0 0 36 40 16 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
124 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
125 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
126 5 10 5 0 0 0 2 3 8 9 0 0 7 0 7 12 13 21 9 10 20 19 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
127 18 420 13 2 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 4 1 1 0 0 1
128 2 4 5 0 3 7 0 1 2 21 16 7 20 12 10 18 13 7 43 6 6 3 5 2 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
129 143 525 229 1 0 264 14 86 160 288 265 211 162 166 39 180 26 501 5 25 28 85 69 85 4 0 370 41 136 85 275 284 1107 152 223 325 413 373 656 188 373 485 453 495 1692 1076 433 1155
130 2 7 0 0 0 0 0 0 1 8 0 1 1 0 0 0 0 1 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
131 1 0 1 0 0 0 0 0 1 0 0 13 0 28 0 0 47 1 3 1 0 0 189 801 0 0 0 747 112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
133 6 4 31 0 0 0 8 13 1 12 4 0 12 40 10 94 7 0 4 0 0 107 34 39 0 0 0 28 215 55 12 45 20 7 3 4 117 206 120 170 608 1387 514 578 1739 3474 3 426
134 4 44 13 0 0 0 0 0 2 0 82 15 6 37 56 58 20 58 25 6 22 50 0 63 0 0 0 0 8 16 11 18 10 13 12 34 14 38 30 9 42 20 6 46 37 184 14 39
