Dados,Model,window,Qtd obj,Accuracy,Precision,Recall,f1_score,auc_roc,P,N,TP,FP,FN,TN,rcs ml,rcs always hot,rcs always warm,rcs opt,cost ml,cost always hot,cost always warm,cost opt,cost online
pop,Online,11,1387,0.798846431146359,0.7188612099644128,0.7695238095238095,0.7433302667893285,0.7931145729753618,525.0,862.0,404.0,158.0,121.0,704.0,0.0,-0.12426093770008101,-381.1028625348781,0.0,17.31518228636683,19.466783073718606,6616.180716933981,17.31518228636683,17.31518228636683
pop,Always Hot,11,1387,0.37851478010093725,0.37851478010093725,1.0,0.549163179916318,0.0,525.0,862.0,525.0,862.0,0.0,0.0,-0.12426093770008101,-0.12426093770008101,-381.1028625348781,0.0,19.466783073718606,19.466783073718606,6616.180716933981,17.31518228636683,17.31518228636683
pop,Always Warm,11,1387,0.6214852198990627,0.0,0.0,0.0,0.0,525.0,862.0,0.0,0.0,525.0,862.0,-381.1028625348781,-0.12426093770008101,-381.1028625348781,0.0,6616.180716933981,19.466783073718606,6616.180716933981,17.31518228636683,17.31518228636683
pop,SVMR,11,1387,0.745493871665465,0.8495934959349594,0.3980952380952381,0.5421530479896238,0.677585902110264,525.0,862.0,209.0,37.0,316.0,825.0,-0.2780886946182144,-0.12426093770008101,-381.1028625348781,0.0,22.130338725459012,19.466783073718606,6616.180716933981,17.31518228636683,17.31518228636683
pop,Online,12,1474,0.8222523744911805,0.7641681901279708,0.7586206896551724,0.761384335154827,0.8094295214256361,551.0,923.0,418.0,129.0,133.0,794.0,0.0,-0.1484855213532714,-88.51701375687013,0.0,18.770947181779658,21.55816106036093,1680.319137100852,18.770947181779658,18.770947181779658
pop,Always Hot,12,1474,0.37381275440976935,0.37381275440976935,1.0,0.5441975308641975,0.0,551.0,923.0,551.0,923.0,0.0,0.0,-0.1484855213532714,-0.1484855213532714,-88.51701375687013,0.0,21.55816106036093,21.55816106036093,1680.319137100852,18.770947181779658,18.770947181779658
pop,Always Warm,12,1474,0.6261872455902306,0.0,0.0,0.0,0.0,551.0,923.0,0.0,0.0,551.0,923.0,-88.51701375687013,-0.1484855213532714,-88.51701375687013,0.0,1680.319137100852,21.55816106036093,1680.319137100852,18.770947181779658,18.770947181779658
pop,SVMR,12,1474,0.7360922659430122,0.9263157894736842,0.3194192377495463,0.4750337381916329,0.6521256535443289,551.0,923.0,176.0,14.0,375.0,909.0,-0.4275643288599382,-0.1484855213532714,-88.51701375687013,0.0,26.796734615622626,21.55816106036093,1680.319137100852,18.770947181779658,18.770947181779658
pop,Online,13,1569,0.8164435946462715,0.7258620689655172,0.7654545454545455,0.7451327433628319,0.8047096083504327,550.0,1019.0,421.0,159.0,129.0,860.0,0.0,-0.13700164392710995,-63.05221402057545,0.0,21.101506752657315,23.99244786711038,1351.5982266778244,21.101506752657315,21.101506752657315
pop,Always Hot,13,1569,0.3505417463352454,0.3505417463352454,1.0,0.5191127890514393,0.0,550.0,1019.0,550.0,1019.0,0.0,0.0,-0.13700164392710995,-0.13700164392710995,-63.05221402057545,0.0,23.99244786711038,23.99244786711038,1351.5982266778244,21.101506752657315,21.101506752657315
