Dados,Model,window,Qtd obj,Accuracy,auc_roc,f1_score,f_beta_2,Precision,Recall,P,N,TP,FP,FN,TN,rcs ml,rcs always hot,rcs always warm,rcs opt,cost ml,cost always hot,cost always warm,cost opt
pop,Always Hot,5,872.0,0.36926605504587157,0.5,0.5393634840871022,0.7453703703703703,0.36926605504587157,1.0,322.0,550.0,322.0,550.0,0.0,0.0,-0.33181776744748437,-0.33181776744748437,-17.47177260639057,0.0,6.599815554793276,6.599815554793276,91.5367666297994,4.955494449846733,4.955494449846733
pop,Always Warm,5,872.0,0.6307339449541285,0.5,0.0,0.0,0.0,0.0,322.0,550.0,0.0,0.0,322.0,550.0,-17.47177260639057,-0.33181776744748437,-17.47177260639057,0.0,91.5367666297994,6.599815554793276,91.5367666297994,4.955494449846733,4.955494449846733
pop,SVMR,5,872.0,0.6651376146788991,0.5562394127611519,0.2356020942408377,0.16691394658753708,0.75,0.13975155279503104,322.0,550.0,45.0,15.0,277.0,535.0,-0.373876427777255,-0.33181776744748437,-17.47177260639057,0.0,6.808237012625443,6.599815554793276,91.5367666297994,4.955494449846733,4.955494449846733
pop,Online,6,915.0,0.6830601092896175,0.6849219168132119,0.6393034825870647,0.5851548269581056,0.7558823529411764,0.5538793103448276,464.0,451.0,257.0,83.0,207.0,368.0,0.0,-0.22795165469598672,-48.7669964075641,0.0,6.1783698064279,7.5867394271268624,307.47890796109976,6.1783698064279,6.1783698064279
pop,Always Hot,6,915.0,0.507103825136612,0.5,0.6729514140681654,0.8372428726091664,0.507103825136612,1.0,464.0,451.0,464.0,451.0,0.0,0.0,-0.22795165469598672,-0.22795165469598672,-48.7669964075641,0.0,7.5867394271268624,7.5867394271268624,307.47890796109976,6.1783698064279,6.1783698064279
pop,Always Warm,6,915.0,0.492896174863388,0.5,0.0,0.0,0.0,0.0,464.0,451.0,0.0,0.0,464.0,451.0,-48.7669964075641,-0.22795165469598672,-48.7669964075641,0.0,307.47890796109976,7.5867394271268624,307.47890796109976,6.1783698064279,6.1783698064279
pop,SVMR,6,915.0,0.6765027322404371,0.678487460815047,0.628140703517588,0.5712979890310786,0.7530120481927711,0.5387931034482759,464.0,451.0,250.0,82.0,214.0,369.0,-0.1613362687580451,-0.22795165469598672,-48.7669964075641,0.0,7.175164938004342,7.5867394271268624,307.47890796109976,6.1783698064279,6.1783698064279
pop,Online,7,996.0,0.7379518072289156,0.7388676265111476,0.72840790842872,0.7427843803056027,0.7056451612903226,0.7526881720430108,465.0,531.0,350.0,146.0,115.0,385.0,0.0,-0.1316257854376023,-100.77032679335963,0.0,8.044181988366292,9.103003760788019,818.659029741295,8.044181988366292,8.044181988366292
pop,Always Hot,7,996.0,0.46686746987951805,0.5,0.6365503080082136,0.8140756302521008,0.46686746987951805,1.0,465.0,531.0,465.0,531.0,0.0,0.0,-0.1316257854376023,-0.1316257854376023,-100.77032679335963,0.0,9.103003760788019,9.103003760788019,818.659029741295,8.044181988366292,8.044181988366292
pop,Always Warm,7,996.0,0.5331325301204819,0.5,0.0,0.0,0.0,0.0,465.0,531.0,0.0,0.0,465.0,531.0,-100.77032679335963,-0.1316257854376023,-100.77032679335963,0.0,818.659029741295,9.103003760788019,818.659029741295,8.044181988366292,8.044181988366292
